iter	Logloss
0	0.6810216005
1	0.6695636928
2	0.6567262193
3	0.6451399483
4	0.6359288132
5	0.6249329851
6	0.6141058365
7	0.6034549456
8	0.5926157449
9	0.5820262871
10	0.5717197531
11	0.5631769905
12	0.5540912167
13	0.544281571
14	0.5338679134
15	0.5243091585
16	0.5152459684
17	0.5067506681
18	0.4979418553
19	0.4908726049
20	0.4828343468
21	0.4759591929
22	0.4699737356
23	0.4622858117
24	0.4545146002
25	0.4476830913
26	0.4412462312
27	0.4335099989
28	0.4265989309
29	0.4204880883
30	0.4148803426
31	0.4090548941
32	0.4033143516
33	0.3972931501
34	0.3908253424
35	0.3862826086
36	0.3805540308
37	0.3740899989
38	0.3680046509
39	0.3626755176
40	0.3567491577
41	0.3520614244
42	0.3471680104
43	0.3418979679
44	0.3363638106
45	0.33158341
46	0.3280810511
47	0.324051941
48	0.319591262
49	0.3151357787
50	0.3109360967
51	0.3063720511
52	0.3021880285
53	0.297850761
54	0.2942106935
55	0.2896704674
56	0.2860113945
57	0.2825386162
58	0.2798948076
59	0.2764455356
60	0.2733350144
61	0.2695027498
62	0.2660856741
63	0.263058399
64	0.2601148122
65	0.2571159683
66	0.2540218952
67	0.2514191944
68	0.2480175399
69	0.2450476914
70	0.2420761556
71	0.2392847311
72	0.2366640806
73	0.2333940764
74	0.2305887239
75	0.2279697299
76	0.2257185086
77	0.2231339891
78	0.2205642249
79	0.218453654
80	0.2163350281
81	0.2142558613
82	0.2112902349
83	0.2092729953
84	0.2073059376
85	0.2052347932
86	0.2024701857
87	0.2006048568
88	0.1985676928
89	0.1967348346
90	0.1951005143
91	0.1937554639
92	0.1921198376
93	0.1901533074
94	0.1884655601
95	0.1865350693
96	0.1847753225
97	0.182752023
98	0.1809770879
99	0.1791399096
100	0.1775643835
101	0.1757666948
102	0.1743330466
103	0.1731477125
104	0.1716022772
105	0.169749712
106	0.1679715586
107	0.1660482289
108	0.1645022947
109	0.1630080375
110	0.1617198932
111	0.1606000612
112	0.1590674675
113	0.157609507
114	0.1562612558
115	0.1550148492
116	0.1537527773
117	0.1525092766
118	0.151321177
119	0.1497928775
120	0.1485375715
121	0.1472490564
122	0.1462115456
123	0.1452656683
124	0.1441572074
125	0.1429218887
126	0.1415144786
