iter	Passed	Remaining
382	1047	1687
383	1049	1684
384	1052	1680
385	1054	1677
386	1056	1674
387	1059	1670
388	1061	1667
389	1063	1663
390	1066	1660
391	1068	1657
392	1070	1653
393	1073	1650
394	1075	1647
395	1077	1644
396	1080	1640
397	1082	1636
398	1084	1633
399	1086	1630
400	1089	1627
401	1091	1624
402	1094	1620
403	1096	1617
404	1098	1614
405	1100	1610
406	1103	1607
407	1105	1604
408	1108	1601
409	1110	1598
410	1113	1595
411	1115	1591
412	1117	1588
413	1120	1585
414	1122	1581
415	1124	1578
416	1127	1575
417	1129	1573
418	1132	1569
419	1134	1566
420	1136	1563
421	1139	1560
422	1141	1557
423	1144	1554
424	1146	1550
425	1148	1547
426	1150	1544
427	1153	1541
428	1155	1538
429	1158	1535
430	1160	1532
431	1163	1529
432	1165	1526
433	1168	1523
434	1170	1520
435	1173	1517
436	1176	1515
437	1179	1512
438	1181	1509
439	1184	1507
440	1186	1504
441	1188	1500
442	1190	1497
443	1193	1494
444	1195	1491
445	1198	1488
446	1200	1485
447	1203	1482
448	1205	1479
449	1207	1476
450	1210	1473
451	1213	1471
452	1216	1468
453	1218	1465
454	1220	1462
455	1223	1459
456	1225	1456
457	1227	1453
458	1230	1450
459	1232	1447
460	1235	1444
461	1237	1441
462	1240	1438
463	1242	1435
464	1244	1432
465	1247	1429
466	1249	1426
467	1252	1423
468	1254	1419
469	1256	1416
470	1259	1414
471	1261	1411
472	1264	1408
473	1267	1406
474	1270	1404
475	1274	1403
476	1279	1402
477	1282	1400
478	1285	1398
479	1289	1396
480	1292	1394
481	1295	1392
482	1299	1390
483	1302	1388
484	1305	1386
485	1309	1384
486	1312	1382
487	1315	1380
488	1318	1378
489	1322	1376
490	1325	1373
491	1328	1371
492	1331	1369
493	1335	1367
494	1338	1365
495	1342	1363
496	1345	1361
497	1348	1359
498	1351	1356
499	1355	1355
500	1358	1352
501	1361	1350
502	1364	1348
503	1368	1346
504	1371	1344
505	1375	1342
506	1378	1340
507	1381	1338
508	1385	1336
509	1388	1333
510	1392	1332
511	1395	1330
512	1399	1328
513	1402	1326
514	1406	1324
515	1409	1322
516	1413	1320
517	1416	1317
518	1419	1315
519	1423	1313
520	1426	1311
521	1435	1314
522	1438	1311
523	1441	1309
524	1444	1306
525	1447	1304
526	1450	1302
527	1453	1299
528	1457	1297
529	1459	1294
530	1462	1291
531	1464	1288
532	1468	1286
533	1471	1283
534	1474	1281
535	1477	1278
536	1480	1276
537	1482	1273
538	1485	1270
539	1487	1267
540	1490	1264
541	1493	1261
542	1495	1258
543	1498	1255
544	1501	1253
545	1503	1250
546	1506	1247
547	1509	1244
548	1511	1241
549	1514	1239
550	1517	1236
551	1519	1233
552	1522	1230
553	1525	1228
554	1528	1225
555	1531	1222
556	1533	1219
557	1536	1217
558	1539	1214
559	1542	1211
560	1545	1209
561	1547	1206
562	1550	1203
563	1553	1200
564	1556	1198
565	1559	1195
566	1562	1193
567	1565	1190
568	1567	1187
569	1570	1184
570	1572	1181
571	1574	1178
572	1577	1175
573	1579	1172
574	1581	1169
575	1584	1166
576	1586	1163
577	1588	1160
578	1591	1157
579	1593	1153
580	1595	1150
581	1598	1147
582	1600	1144
583	1602	1141
584	1605	1138
585	1607	1135
586	1610	1132
587	1612	1129
588	1614	1126
589	1617	1123
590	1619	1120
591	1621	1117
592	1624	1114
593	1626	1111
594	1628	1108
595	1631	1105
596	1633	1102
597	1635	1099
598	1637	1096
599	1640	1093
600	1643	1090
601	1646	1088
602	1649	1085
603	1651	1083
604	1654	1080
605	1656	1077
606	1659	1074
607	1661	1071
608	1663	1068
609	1666	1065
610	1668	1062
611	1670	1059
612	1673	1056
613	1675	1053
614	1677	1050
615	1680	1047
616	1682	1044
617	1684	1041
618	1687	1038
619	1689	1035
620	1691	1032
621	1694	1029
622	1696	1026
623	1698	1023
624	1701	1020
625	1703	1017
626	1706	1015
627	1709	1012
628	1711	1009
629	1713	1006
630	1716	1003
631	1718	1000
632	1720	997
633	1723	994
634	1725	991
635	1727	988
636	1729	985
637	1732	982
638	1734	979
639	1736	977
640	1739	974
641	1742	971
642	1744	968
643	1746	965
644	1748	962
645	1750	959
646	1753	956
647	1756	953
648	1759	951
649	1761	948
650	1764	945
651	1766	942
652	1768	939
653	1771	937
654	1773	934
655	1776	931
656	1778	928
657	1780	925
658	1783	922
659	1785	919
660	1787	916
661	1790	914
662	1792	911
663	1794	908
664	1797	905
665	1799	902
666	1801	899
667	1804	896
668	1806	893
669	1809	891
670	1811	888
671	1813	885
672	1816	882
673	1818	879
674	1820	876
675	1823	874
676	1825	871
677	1828	868
678	1830	865
679	1832	862
680	1835	859
681	1837	856
682	1839	853
683	1842	850
684	1844	848
685	1846	845
686	1849	842
687	1851	839
688	1854	836
689	1856	833
690	1858	831
691	1861	828
692	1863	825
693	1865	822
694	1868	819
695	1870	816
696	1872	814
697	1874	811
698	1877	808
699	1879	805
700	1881	802
701	1884	799
702	1886	797
703	1888	794
704	1891	791
705	1893	788
706	1895	785
707	1898	782
708	1900	780
709	1903	777
710	1905	774
711	1908	771
712	1910	768
713	1912	766
714	1914	763
715	1917	760
716	1919	757
717	1921	754
718	1924	752
719	1926	749
720	1928	746
721	1931	743
722	1933	740
723	1935	737
724	1938	735
725	1940	732
726	1942	729
727	1944	726
728	1946	723
729	1948	720
730	1951	718
731	1954	715
732	1956	712
733	1959	710
734	1961	707
735	1964	704
736	1966	701
737	1968	699
738	1971	696
739	1973	693
740	1975	690
741	1978	687
742	1980	685
743	1982	682
744	1985	679
745	1987	676
746	1990	674
747	1993	671
748	1995	668
749	1998	666
750	2000	663
751	2002	660
752	2004	657
753	2007	654
754	2009	652
755	2011	649
756	2014	646
757	2016	643
758	2018	641
759	2021	638
760	2024	635
761	2027	633
762	2029	630
763	2031	627
764	2033	624
765	2036	622
766	2038	619
767	2040	616
768	2043	613
769	2045	611
770	2048	608
771	2050	605
772	2052	602
773	2055	600
774	2057	597
775	2059	594
776	2062	591
777	2064	589
778	2066	586
779	2069	583
780	2071	580
781	2073	578
782	2075	575
783	2077	572
784	2080	569
785	2082	567
786	2085	564
787	2087	561
788	2090	558
789	2092	556
790	2095	553
791	2097	550
792	2099	548
793	2101	545
794	2104	542
795	2106	539
796	2108	537
797	2111	534
798	2113	531
799	2115	528
800	2118	526
801	2120	523
802	2122	520
803	2125	518
804	2127	515
805	2130	512
806	2132	510
807	2135	507
808	2138	504
809	2140	502
810	2142	499
811	2144	496
812	2146	493
813	2148	491
814	2151	488
815	2154	485
816	2157	483
817	2160	480
818	2162	477
819	2165	475
820	2167	472
821	2170	469
822	2172	467
823	2175	464
824	2177	461
825	2179	459
826	2182	456
827	2184	453
828	2187	451
829	2189	448
830	2191	445
831	2194	443
832	2196	440
833	2198	437
834	2201	435
835	2203	432
836	2206	429
837	2208	426
838	2210	424
839	2213	421
840	2215	418
841	2217	416
842	2220	413
843	2222	410
844	2224	408
845	2227	405
846	2229	402
847	2231	400
848	2234	397
849	2236	394
850	2238	392
851	2241	389
852	2243	386
853	2246	384
854	2248	381
855	2251	378
856	2253	376
857	2255	373
858	2258	370
859	2260	368
860	2262	365
861	2265	362
862	2267	359
863	2270	357
864	2272	354
865	2275	352
866	2277	349
867	2280	346
868	2282	344
869	2285	341
870	2287	338
871	2289	336
872	2292	333
873	2294	330
874	2296	328
875	2299	325
876	2301	322
877	2304	320
878	2306	317
879	2309	314
880	2311	312
881	2313	309
882	2316	306
883	2318	304
884	2320	301
885	2323	298
886	2325	296
887	2328	293
888	2330	291
889	2333	288
890	2335	285
891	2338	283
892	2340	280
893	2343	277
894	2346	275
895	2349	272
896	2351	270
897	2353	267
898	2356	264
899	2359	262
900	2361	259
901	2363	256
902	2365	254
903	2368	251
904	2370	248
905	2373	246
906	2375	243
907	2378	240
908	2380	238
909	2383	235
910	2385	233
911	2388	230
912	2390	227
913	2392	225
914	2395	222
915	2398	219
916	2401	217
917	2404	214
918	2407	212
919	2409	209
920	2412	206
921	2414	204
922	2417	201
923	2419	199
924	2422	196
925	2424	193
926	2427	191
927	2429	188
928	2431	185
929	2433	183
930	2436	180
931	2438	177
932	2441	175
933	2443	172
934	2445	170
935	2448	167
936	2450	164
937	2452	162
938	2455	159
939	2457	156
940	2459	154
941	2462	151
942	2464	148
943	2466	146
944	2469	143
945	2471	141
946	2473	138
947	2476	135
948	2478	133
949	2481	130
950	2483	127
951	2486	125
952	2488	122
953	2491	120
954	2493	117
955	2495	114
956	2498	112
957	2501	109
958	2504	107
959	2506	104
960	2509	101
961	2512	99
962	2515	96
963	2518	94
964	2521	91
965	2524	88
966	2527	86
967	2530	83
968	2533	81
969	2536	78
970	2539	75
971	2542	73
972	2545	70
973	2548	68
974	2550	65
975	2553	62
976	2556	60
977	2559	57
978	2561	54
979	2564	52
980	2566	49
981	2569	47
982	2571	44
983	2573	41
984	2576	39
985	2578	36
986	2581	33
987	2583	31
988	2585	28
989	2588	26
990	2590	23
991	2593	20
992	2595	18
993	2598	15
994	2600	13
995	2602	10
996	2605	7
997	2607	5
998	2610	2
999	2612	0
